Outlet,Receipt Number,Date,Time,Category,Brand,Items,Variant,SKU,Quantity,Modifier Applied,Discount Applied,Gross Sales,Discounts,Refunds,Net Sales,Gratuity,Tax,Sales Type,Collected By,Served By,Customer,Payment Method,Event Type,Reason of Refund
Outlet 1,4Z7J58,12-12-2025,22:40:49,MINUMAN,Unbranded,Teh Tawar Dingin,,,1,,,6500.0,0.0,0.0,6500.0,0.0,650.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J58,12-12-2025,22:40:49,MINUMAN,Unbranded,Teh Tarik,,,1,,,18000.0,0.0,0.0,18000.0,0.0,1800.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J57,12-12-2025,22:39:54,MAKANAN,Unbranded,Nasi Telur Pontianak,,,1,,,25500.0,0.0,0.0,25500.0,0.0,2550.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J57,12-12-2025,22:39:54,MINUMAN,Unbranded,Kopi Peng,,,1,,,18000.0,0.0,0.0,18000.0,0.0,1800.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J57,12-12-2025,22:39:54,MINUMAN,Unbranded,Teh Tarik,,,1,,,18000.0,0.0,0.0,18000.0,0.0,1800.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J57,12-12-2025,22:39:54,MAKANAN,Unbranded,Nasi Goreng Seafood,,,1,,,35000.0,0.0,0.0,35000.0,0.0,3500.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J57,12-12-2025,22:39:54,MINUMAN,Unbranded,Es Kopi Teh,,,1,,,18000.0,0.0,0.0,18000.0,0.0,1800.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J57,12-12-2025,22:39:54,MINUMAN,Unbranded,Es Kopi Cokelat,,,1,,,20000.0,0.0,0.0,20000.0,0.0,2000.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J57,12-12-2025,22:39:54,MINUMAN,Unbranded,Mineral Water,,,1,,,10000.0,0.0,0.0,10000.0,0.0,1000.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J56,12-12-2025,22:34:45,MINUMAN,Unbranded,Kopi O,,,1,,COMPLIMENT,15000.0,15000.0,0.0,0.0,0.0,0.0,No Sales Type,UNCLE A,,,Cash,Payment,
Outlet 1,4Z7J56,12-12-2025,22:34:45,MINUMAN,Unbranded,Kopi O,,,1,,COMPLIMENT,15000.0,15000.0,0.0,0.0,0.0,0.0,No Sales Type,UNCLE A,,,Cash,Payment,
Outlet 1,4Z7J56,12-12-2025,22:34:45,MINUMAN,Unbranded,Kopi C,,,1,,COMPLIMENT,18000.0,18000.0,0.0,0.0,0.0,0.0,No Sales Type,UNCLE A,,,Cash,Payment,
Outlet 1,4Z7J56,12-12-2025,22:34:45,MINUMAN,Unbranded,Kopi C,,,1,,COMPLIMENT,18000.0,18000.0,0.0,0.0,0.0,0.0,No Sales Type,UNCLE A,,,Cash,Payment,
Outlet 1,4Z7J56,12-12-2025,22:34:45,MINUMAN,Unbranded,Kopi O,,,1,,COMPLIMENT,15000.0,15000.0,0.0,0.0,0.0,0.0,No Sales Type,UNCLE A,,,Cash,Payment,
Outlet 1,4Z7J55,12-12-2025,22:31:32,MAKANAN,Unbranded,Nasi Goreng Seafood,,,1,,,35000.0,0.0,0.0,35000.0,0.0,3500.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J55,12-12-2025,22:31:32,MAKANAN,Unbranded,Uncle A Toast Chocolate,,,1,,,20000.0,0.0,0.0,20000.0,0.0,2000.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J55,12-12-2025,22:31:32,MINUMAN,Unbranded,Teh Tarik,,,1,,,18000.0,0.0,0.0,18000.0,0.0,1800.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J55,12-12-2025,22:31:32,MINUMAN,Unbranded,Teh O,,,1,,,18000.0,0.0,0.0,18000.0,0.0,1800.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J55,12-12-2025,22:31:32,MAKANAN,Unbranded,Kentang Sosis,,,1,,,21000.0,0.0,0.0,21000.0,0.0,2100.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J55,12-12-2025,22:31:32,MINUMAN,Unbranded,Teh Tarik,,,1,,,18000.0,0.0,0.0,18000.0,0.0,1800.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J55,12-12-2025,22:31:32,MAKANAN,Unbranded,Bakmi Ayam Jamur,,,1,,,29500.0,0.0,0.0,29500.0,0.0,2950.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J55,12-12-2025,22:31:32,MAKANAN,Unbranded,Nasi Telur Pontianak,,,1,,,25500.0,0.0,0.0,25500.0,0.0,2550.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J55,12-12-2025,22:31:32,MINUMAN,Unbranded,Teh Tawar Dingin,,,1,,,6500.0,0.0,0.0,6500.0,0.0,650.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J54,12-12-2025,22:30:47,MINUMAN,Unbranded,Kopi Peng,,,1,,COMPLIMENT,18000.0,18000.0,0.0,0.0,0.0,0.0,No Sales Type,UNCLE A,,,Cash,Payment,
Outlet 1,4Z7J54,12-12-2025,22:30:47,MINUMAN,Unbranded,Teh Tarik,,,1,,COMPLIMENT,18000.0,18000.0,0.0,0.0,0.0,0.0,No Sales Type,UNCLE A,,,Cash,Payment,
Outlet 1,4Z7J54,12-12-2025,22:30:47,MINUMAN,Unbranded,Es Kopi Uncle A,,,1,,COMPLIMENT,20000.0,20000.0,0.0,0.0,0.0,0.0,No Sales Type,UNCLE A,,,Cash,Payment,
Outlet 1,4Z7J53,12-12-2025,22:29:27,MAKANAN,Unbranded,Nasi Goreng Seafood,,,1,,,35000.0,0.0,0.0,35000.0,0.0,3500.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J52,12-12-2025,21:07:54,MAKANAN,Unbranded,Gohyong Saus Cuka,,,1,,,25000.0,0.0,0.0,25000.0,0.0,2500.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J51,12-12-2025,20:55:34,MINUMAN,Unbranded,Kopi O,,,2,,,30000.0,0.0,0.0,30000.0,0.0,3000.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J51,12-12-2025,20:55:34,MINUMAN,Unbranded,Teh Tarik,,,2,,,36000.0,0.0,0.0,36000.0,0.0,3600.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J51,12-12-2025,20:55:34,MINUMAN,Unbranded,Kopi Susu,,,1,,,26000.0,0.0,0.0,26000.0,0.0,2600.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J51,12-12-2025,20:55:34,MAKANAN,Unbranded,Kentang Sosis,,,1,,,21000.0,0.0,0.0,21000.0,0.0,2100.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J51,12-12-2025,20:55:34,MAKANAN,Unbranded,Roti Bakar Kaya + Butter,,,1,,,18000.0,0.0,0.0,18000.0,0.0,1800.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J51,12-12-2025,20:55:34,MINUMAN,Unbranded,Kopi gula aren dngin,,,1,,,22000.0,0.0,0.0,22000.0,0.0,2200.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J51,12-12-2025,20:55:34,MINUMAN,Unbranded,Mineral Water,,,1,,,10000.0,0.0,0.0,10000.0,0.0,1000.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J50,12-12-2025,20:54:52,MINUMAN,Unbranded,Es Kopi Uncle A,,,1,,,20000.0,0.0,0.0,20000.0,0.0,2000.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J4Z,12-12-2025,20:34:32,MINUMAN,Unbranded,Es Cinch Fresh Milk,,,1,,,25000.0,0.0,0.0,25000.0,0.0,2500.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J4Y,12-12-2025,19:41:31,MAKANAN,Unbranded,Gohyong Saus Cuka,,,1,,,25000.0,0.0,0.0,25000.0,0.0,2500.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J4Y,12-12-2025,19:41:31,MAKANAN,Unbranded,Nasi Putih,,,1,,,8000.0,0.0,0.0,8000.0,0.0,800.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J4X,12-12-2025,19:24:56,MAKANAN,Unbranded,Tahu Lada Garam,,,1,,,20000.0,0.0,0.0,20000.0,0.0,2000.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J4W,12-12-2025,19:03:37,MAKANAN,Unbranded,Roti Bakar Kaya + Butter,,,1,,,18000.0,0.0,0.0,18000.0,0.0,1800.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J4V,12-12-2025,17:47:54,MAKANAN,Unbranded,Bakmi Ayam Mentega,,,1,,,29500.0,0.0,0.0,29500.0,0.0,2950.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J4V,12-12-2025,17:47:54,MAKANAN,Unbranded,Gohyong Saus Cuka,,,1,,,25000.0,0.0,0.0,25000.0,0.0,2500.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J4V,12-12-2025,17:47:54,MINUMAN,Unbranded,Teh Tarik,,,1,,,18000.0,0.0,0.0,18000.0,0.0,1800.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J4V,12-12-2025,17:47:54,MAKANAN,Unbranded,Nasi Fu Yung Hai,,,1,,,26000.0,0.0,0.0,26000.0,0.0,2600.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J4V,12-12-2025,17:47:54,MINUMAN,Unbranded,Mineral Water,,,1,,,10000.0,0.0,0.0,10000.0,0.0,1000.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J4U,12-12-2025,17:23:21,MINUMAN,Unbranded,Kopi C,,,1,,,18000.0,0.0,0.0,18000.0,0.0,1800.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J4U,12-12-2025,17:23:21,MAKANAN,Unbranded,Roti Bakar Kaya + Butter,,,1,,,18000.0,0.0,0.0,18000.0,0.0,1800.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J4T,12-12-2025,17:20:11,MAKANAN,Unbranded,Roti Bakar Kaya + Butter,,,1,,,18000.0,0.0,0.0,18000.0,0.0,1800.0,No Sales Type,UNCLE A,,,Cash,Payment,
Outlet 1,4Z7J4T,12-12-2025,17:20:11,MINUMAN,Unbranded,Mineral Water,,,1,,,10000.0,0.0,0.0,10000.0,0.0,1000.0,No Sales Type,UNCLE A,,,Cash,Payment,
Outlet 1,4Z7J4T,12-12-2025,17:20:11,MINUMAN,Unbranded,Kopi O,,,1,,,15000.0,0.0,0.0,15000.0,0.0,1500.0,No Sales Type,UNCLE A,,,Cash,Payment,
Outlet 1,4Z7J4S,12-12-2025,13:35:05,MINUMAN,Unbranded,Kopi Susu Dingin,,,1,,,25000.0,0.0,0.0,25000.0,0.0,2500.0,No Sales Type,UNCLE A,,,Cash,Payment,
Outlet 1,4Z7J4S,12-12-2025,13:35:05,MINUMAN,Unbranded,Es Cinch Fresh Milk,,,1,,,25000.0,0.0,0.0,25000.0,0.0,2500.0,No Sales Type,UNCLE A,,,Cash,Payment,
Outlet 1,4Z7J4S,12-12-2025,13:35:05,MINUMAN,Unbranded,Milo Dino,,,1,,,16000.0,0.0,0.0,16000.0,0.0,1600.0,No Sales Type,UNCLE A,,,Cash,Payment,
Outlet 1,4Z7J4R,12-12-2025,12:04:01,MAKANAN,Unbranded,Pisang Goreng (Wijen/Kaya),,,1,,,18000.0,0.0,0.0,18000.0,0.0,1800.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J4R,12-12-2025,12:04:01,MAKANAN,Unbranded,Pangsit Goreng,,,1,,,20000.0,0.0,0.0,20000.0,0.0,2000.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J4R,12-12-2025,12:04:01,MINUMAN,Unbranded,Kopi Butter,,,1,,,20000.0,0.0,0.0,20000.0,0.0,2000.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J4Q,12-12-2025,11:34:40,MAKANAN,Unbranded,Smoked beef toast egg,,,1,,,24000.0,0.0,0.0,24000.0,0.0,2400.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J4Q,12-12-2025,11:34:40,MAKANAN,Unbranded,Bakmi Ayam Jamur,,,1,,,29500.0,0.0,0.0,29500.0,0.0,2950.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J4Q,12-12-2025,11:34:40,MINUMAN,Unbranded,Kopi Butter,,,1,,,20000.0,0.0,0.0,20000.0,0.0,2000.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J4Q,12-12-2025,11:34:40,MAKANAN,Unbranded,Tahu Lada Garam,,,1,,,20000.0,0.0,0.0,20000.0,0.0,2000.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J4Q,12-12-2025,11:34:40,MAKANAN,Unbranded,Uncle A Toast Chocolate,,,1,,,20000.0,0.0,0.0,20000.0,0.0,2000.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J4Q,12-12-2025,11:34:40,MINUMAN,Unbranded,Kopi Susu Dingin,,,1,,,25000.0,0.0,0.0,25000.0,0.0,2500.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J4P,12-12-2025,11:08:05,MAKANAN,Unbranded,Tahu Lada Garam,,,1,,,20000.0,0.0,0.0,20000.0,0.0,2000.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J4P,12-12-2025,11:08:05,MINUMAN,Unbranded,Kopi Susu Dingin,,,1,,,25000.0,0.0,0.0,25000.0,0.0,2500.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J4P,12-12-2025,11:08:05,MINUMAN,Unbranded,Mineral Water,,,1,,,10000.0,0.0,0.0,10000.0,0.0,1000.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J4P,12-12-2025,11:08:05,MAKANAN,Unbranded,Smoked beef toast egg,,,1,,,24000.0,0.0,0.0,24000.0,0.0,2400.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J4O,12-12-2025,11:06:59,MAKANAN,Unbranded,Tahu Lada Garam,,,1,,,20000.0,0.0,0.0,20000.0,0.0,2000.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J4O,12-12-2025,11:06:59,MINUMAN,Unbranded,Kopi C,,,1,,,18000.0,0.0,0.0,18000.0,0.0,1800.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J4N,12-12-2025,10:47:25,MAKANAN,Unbranded,Telur Ceplok/Dadar,,,1,,,6500.0,0.0,0.0,6500.0,0.0,650.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J4N,12-12-2025,10:47:25,MAKANAN,Unbranded,Nasi Telur Pontianak,,,1,,,25500.0,0.0,0.0,25500.0,0.0,2550.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J4M,12-12-2025,10:43:20,MAKANAN,Unbranded,Tahu Lada Garam,,,1,,,20000.0,0.0,0.0,20000.0,0.0,2000.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J4M,12-12-2025,10:43:20,MAKANAN,Unbranded,Pisang Goreng (Wijen/Kaya),,,1,,,18000.0,0.0,0.0,18000.0,0.0,1800.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J4M,12-12-2025,10:43:20,MAKANAN,Unbranded,Roti Bakar Kaya + Butter,,,1,,,18000.0,0.0,0.0,18000.0,0.0,1800.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J4M,12-12-2025,10:43:20,MINUMAN,Unbranded,Susu Kedelai,,,1,,,20000.0,0.0,0.0,20000.0,0.0,2000.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J4M,12-12-2025,10:43:20,MINUMAN,Unbranded,Kopi Susu Dingin,,,3,,,75000.0,0.0,0.0,75000.0,0.0,7500.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J4L,12-12-2025,09:54:12,MINUMAN,Unbranded,Kopi Peng,,,1,,,18000.0,0.0,0.0,18000.0,0.0,1800.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J4K,12-12-2025,09:42:05,MAKANAN,Unbranded,Tahu Lada Garam,,,1,,,20000.0,0.0,0.0,20000.0,0.0,2000.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J4K,12-12-2025,09:42:05,MAKANAN,Unbranded,Roti Bakar Kaya + Butter,,,1,,,18000.0,0.0,0.0,18000.0,0.0,1800.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J4J,12-12-2025,09:32:31,MAKANAN,Unbranded,Ayam Kepak Madu,,,3,,,105000.0,0.0,0.0,105000.0,0.0,10500.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J4J,12-12-2025,09:32:31,MAKANAN,Unbranded,Tahu Lada Garam,,,3,,,60000.0,0.0,0.0,60000.0,0.0,6000.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J4J,12-12-2025,09:32:31,MAKANAN,Unbranded,Pisang Goreng (Wijen/Kaya),,,3,,,54000.0,0.0,0.0,54000.0,0.0,5400.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J4I,11-12-2025,22:14:44,MINUMAN,Unbranded,Kopi O,,,1,,COMPLIMENT,15000.0,15000.0,0.0,0.0,0.0,0.0,No Sales Type,UNCLE A,,,Cash,Payment,
Outlet 1,4Z7J4I,11-12-2025,22:14:44,MINUMAN,Unbranded,Kopi Susu Panas,,,3,,COMPLIMENT,70500.0,70500.0,0.0,0.0,0.0,0.0,No Sales Type,UNCLE A,,,Cash,Payment,
Outlet 1,4Z7J4I,11-12-2025,22:14:44,MAKANAN,Unbranded,Telur Ceplok/Dadar,,,1,,COMPLIMENT,6500.0,6500.0,0.0,0.0,0.0,0.0,No Sales Type,UNCLE A,,,Cash,Payment,
Outlet 1,4Z7J4I,11-12-2025,22:14:44,MAKANAN,Unbranded,Tahu Lada Garam,,,1,,COMPLIMENT,20000.0,20000.0,0.0,0.0,0.0,0.0,No Sales Type,UNCLE A,,,Cash,Payment,
Outlet 1,4Z7J4I,11-12-2025,22:14:44,MAKANAN,Unbranded,Nasi Fu Yung Hai,,,1,,COMPLIMENT,26000.0,26000.0,0.0,0.0,0.0,0.0,No Sales Type,UNCLE A,,,Cash,Payment,
Outlet 1,4Z7J4I,11-12-2025,22:14:44,MINUMAN,Unbranded,Mineral Water,,,1,,COMPLIMENT,10000.0,10000.0,0.0,0.0,0.0,0.0,No Sales Type,UNCLE A,,,Cash,Payment,
Outlet 1,4Z7J4I,11-12-2025,22:14:44,MINUMAN,Unbranded,Mineral Water,,,2,,COMPLIMENT,20000.0,20000.0,0.0,0.0,0.0,0.0,No Sales Type,UNCLE A,,,Cash,Payment,
Outlet 1,4Z7J4I,11-12-2025,22:14:44,MINUMAN,Unbranded,Kopi O,,,1,,COMPLIMENT,15000.0,15000.0,0.0,0.0,0.0,0.0,No Sales Type,UNCLE A,,,Cash,Payment,
Outlet 1,4Z7J4I,11-12-2025,22:14:44,MAKANAN,Unbranded,Bakmi Ayam Kecap,,,1,,COMPLIMENT,29000.0,29000.0,0.0,0.0,0.0,0.0,No Sales Type,UNCLE A,,,Cash,Payment,
Outlet 1,4Z7J4I,11-12-2025,22:14:44,MAKANAN,Unbranded,Nasi Fu Yung Hai,,,1,,COMPLIMENT,26000.0,26000.0,0.0,0.0,0.0,0.0,No Sales Type,UNCLE A,,,Cash,Payment,
Outlet 1,4Z7J4I,11-12-2025,22:14:44,MINUMAN,Unbranded,Kopi O,,,2,,COMPLIMENT,30000.0,30000.0,0.0,0.0,0.0,0.0,No Sales Type,UNCLE A,,,Cash,Payment,
Outlet 1,4Z7J4I,11-12-2025,22:14:44,MAKANAN,Unbranded,Nasi Fu Yung Hai,,,3,,COMPLIMENT,78000.0,78000.0,0.0,0.0,0.0,0.0,No Sales Type,UNCLE A,,,Cash,Payment,
Outlet 1,4Z7J4I,11-12-2025,22:14:44,MINUMAN,Unbranded,Mineral Water,,,3,,COMPLIMENT,30000.0,30000.0,0.0,0.0,0.0,0.0,No Sales Type,UNCLE A,,,Cash,Payment,
Outlet 1,4Z7J4I,11-12-2025,22:14:44,MAKANAN,Unbranded,Kentang Sosis,,,2,,COMPLIMENT,42000.0,42000.0,0.0,0.0,0.0,0.0,No Sales Type,UNCLE A,,,Cash,Payment,
Outlet 1,4Z7J4I,11-12-2025,22:14:44,MINUMAN,Unbranded,Teh Tarik,,,1,,COMPLIMENT,18000.0,18000.0,0.0,0.0,0.0,0.0,No Sales Type,UNCLE A,,,Cash,Payment,
Outlet 1,4Z7J4I,11-12-2025,22:14:44,MINUMAN,Unbranded,Kopi O,,,6,,COMPLIMENT,90000.0,90000.0,0.0,0.0,0.0,0.0,No Sales Type,UNCLE A,,,Cash,Payment,
Outlet 1,4Z7J4H,11-12-2025,22:13:24,MINUMAN,Unbranded,Teh O,,,1,,,18000.0,0.0,0.0,18000.0,0.0,1800.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J4H,11-12-2025,22:13:24,MINUMAN,Unbranded,Kopi Peng,,,1,,,18000.0,0.0,0.0,18000.0,0.0,1800.0,No Sales Type,UNCLE A,,,BCA,Payment,
Outlet 1,4Z7J4G,11-12-2025,22:07:22,MINUMAN,Unbranded,Es Kopi Uncle A,,,1,,COMPLIMENT,20000.0,20000.0,0.0,0.0,0.0,0.0,No Sales Type,UNCLE A,,,Cash,Payment,
Outlet 1,4Z7J4G,11-12-2025,22:07:22,MINUMAN,Unbranded,Kopi C,,,2,,COMPLIMENT,36000.0,36000.0,0.0,0.0,0.0,0.0,No Sales Type,UNCLE A,,,Cash,Payment,
Outlet 1,4Z7J4G,11-12-2025,22:07:22,MINUMAN,Unbranded,Es Kopi Uncle A,,,1,,COMPLIMENT,20000.0,20000.0,0.0,0.0,0.0,0.0,No Sales Type,UNCLE A,,,Cash,Payment,
Outlet 1,4Z7J4G,11-12-2025,22:07:22,MINUMAN,Unbranded,Kopi C,,,2,,COMPLIMENT,36000.0,36000.0,0.0,0.0,0.0,0.0,No Sales Type,UNCLE A,,,Cash,Payment,
Outlet 1,4Z7J4F,11-12-2025,22:06:55,MINUMAN,Unbranded,Kopi O,,,2,,COMPLIMENT,30000.0,30000.0,0.0,0.0,0.0,0.0,No Sales Type,UNCLE A,,,Cash,Payment,
Outlet 1,4Z7J4F,11-12-2025,22:06:55,MINUMAN,Unbranded,Kopi C,,,1,,COMPLIMENT,18000.0,18000.0,0.0,0.0,0.0,0.0,No Sales Type,UNCLE A,,,Cash,Payment,
Outlet 1,4Z7J4F,11-12-2025,22:06:55,MINUMAN,Unbranded,Kopi C,,,1,,COMPLIMENT,18000.0,18000.0,0.0,0.0,0.0,0.0,No Sales Type,UNCLE A,,,Cash,Payment,
Outlet 1,4Z7J4F,11-12-2025,22:06:55,MINUMAN,Unbranded,Mineral Water,,,2,,COMPLIMENT,20000.0,20000.0,0.0,0.0,0.0,0.0,No Sales Type,UNCLE A,,,Cash,Payment,
Outlet 1,4Z7J4F,11-12-2025,22:06:55,MINUMAN,Unbranded,Kopi C,,,2,,COMPLIMENT,36000.0,36000.0,0.0,0.0,0.0,0.0,No Sales Type,UNCLE A,,,Cash,Payment,
Outlet 1,4Z7J4F,11-12-2025,22:06:55,MINUMAN,Unbranded,Mineral Water,,,1,,COMPLIMENT,10000.0,10000.0,0.0,0.0,0.0,0.0,No Sales Type,UNCLE A,,,Cash,Payment,
Outlet 1,4Z7J4F,11-12-2025,22:06:55,MAKANAN,Unbranded,Tahu Lada Garam,,,1,,COMPLIMENT,20000.0,20000.0,0.0,0.0,0.0,0.0,No Sales Type,UNCLE A,,,Cash,Payment,
Outlet 1,4Z7J4F,11-12-2025,22:06:55,MAKANAN,Unbranded,Pisang Goreng (Wijen/Kaya),,,1,,COMPLIMENT,18000.0,18000.0,0.0,0.0,0.0,0.0,No Sales Type,UNCLE A,,,Cash,Payment,
