Internal ID Variant (Do Not Edit),Category,SKU,Items Name (Do Not Edit),ecommerce item? (Yes/No),Pre-order ? (Yes/No),Processing days,Weight (gm),Length (cm),Width (cm),Height (cm),Condition,Brand Name,Variant name,Basic - Price,Image 1 (for Online Store),Image 2 (for Online Store),Image 3 (for Online Store),Image 4 (for Online Store),Image 5 (for Online Store),Image 6 (for Online Store),Image 7 (for Online Store),Image 8 (for Online Store),Image 9 (for Online Store),Image 10 (for Online Store),Image 11 (for Online Store),Image 12 (for Online Store),In Stock,Track Stock,Track Alert,Stock Alert,Track Cost,Cost Amount,Modifier Set - Tes - 421409
169821365,MAKANAN,,Bakmi Polos,No,No,0,,,,,,Unbranded,,18500,,,,,,,,,,,,,0,No,No,0,No,No
169821367,MAKANAN,,Bakmi Ayam Jamur,No,No,0,,,,,,Unbranded,,29500,,,,,,,,,,,,,0,No,No,0,No,,No
169821368,MAKANAN,,Bakmi Rica,No,No,0,,,,,,Unbranded,,29500,,,,,,,,,,,,,0,No,No,0,No,,No
169821369,MAKANAN,,Bakmi Ayam Mentega,No,No,0,,,,,,Unbranded,,29500,,,,,,,,,,,,,0,No,No,0,No,,No
169821373,MAKANAN,,Nasi Telur Pontianak,No,No,0,,,,,,Unbranded,,25500,,,,,,,,,,,,,0,No,No,0,No,,No
169821374,MAKANAN,,Nasi Ayam Jamur,No,No,0,,,,,,Unbranded,,31500,,,,,,,,,,,,,0,No,No,0,No,,No
169821375,MAKANAN,,Nasi Ayam Mentega,No,No,0,,,,,,Unbranded,,32000,,,,,,,,,,,,,0,No,No,0,No,,No
169821377,MAKANAN,,Nasi Smoked Beef,No,No,0,,,,,,Unbranded,,32500,,,,,,,,,,,,,0,No,No,0,No,,No
169821378,MAKANAN,,Nasi Ayam Goreng,No,No,0,,,,,,Unbranded,,32500,,,,,,,,,,,,,0,No,No,0,No,,No
169821380,MAKANAN,,Nasi Fu Yung Hai,No,No,0,,,,,,Unbranded,,26000,,,,,,,,,,,,,0,No,No,0,No,,No
169821381,MAKANAN,,Roti Bakar Manis Sendiri,No,No,0,,,,,,Unbranded,,18000,,,,,,,,,,,,,0,No,No,0,No,,No
169821382,MAKANAN,,Roti Bakar Manis Banyakan,No,No,0,,,,,,Unbranded,,25000,,,,,,,,,,,,,0,No,No,0,No,,No
169821383,MAKANAN,,Roti Bakar Asin Sendirian,No,No,0,,,,,,Unbranded,,18000,,,,,,,,,,,,,0,No,No,0,No,,No
169821385,MAKANAN,,Roti Bakar Asin Banyakan,No,No,0,,,,,,Unbranded,,25000,,,,,,,,,,,,,0,No,No,0,No,,No
169821387,MAKANAN,,Siomay kukus,No,No,0,,,,,,Unbranded,,18000,,,,,,,,,,,,,0,No,No,0,No,,No
169821389,MAKANAN,,Bapao,No,No,0,,,,,,Unbranded,,20000,,,,,,,,,,,,,0,No,No,0,No,,No
169821391,MAKANAN,,Donat gula,No,No,0,,,,,,Unbranded,,22000,,,,,,,,,,,,,0,No,No,0,No,,No
169821393,MAKANAN,,Pisang Keju Coklat,No,No,0,,,,,,Unbranded,,22000,,,,,,,,,,,,,0,No,No,0,No,,No
169821396,MAKANAN,,Cireng,No,No,0,,,,,,Unbranded,,18000,,,,,,,,,,,,,0,No,No,0,No,,No
169821400,MAKANAN,,Kentang Sosis,No,No,0,,,,,,Unbranded,,21000,,,,,,,,,,,,,0,No,No,0,No,,No
169821405,MAKANAN,,Tahu Lada Garam,No,No,0,,,,,,Unbranded,,20000,,,,,,,,,,,,,0,No,No,0,No,,No
169821410,MINUMAN,,Kopitiam Putih Panas,No,No,0,,,,,,Unbranded,,21500,,,,,,,,,,,,,0,No,No,0,No,,No
169821411,MINUMAN,,Kopitiam Putih Dingin,No,No,0,,,,,,Unbranded,,24000,,,,,,,,,,,,,0,No,No,0,No,,No
169821412,MINUMAN,,Kopitiam Hitam Panas,No,No,0,,,,,,Unbranded,,20000,,,,,,,,,,,,,0,No,No,0,No,,No
169821413,MINUMAN,,Kopitiam Hitam Dingin,No,No,0,,,,,,Unbranded,,22500,,,,,,,,,,,,,0,No,No,0,No,,No
169821415,Uncategorized,,Kopi Lemon Dingin,No,No,0,,,,,,Unbranded,,23000,,,,,,,,,,,,,0,No,No,0,No,,No
169821416,MINUMAN,,Kopi Susu Panas,No,No,0,,,,,,Unbranded,,23500,,,,,,,,,,,,,0,No,No,0,No,,No
169821419,MINUMAN,,Kopi Susu Dingin,No,No,0,,,,,,Unbranded,,25000,,,,,,,,,,,,,0,No,No,0,No,,No
